Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Product: Data Scientist,Employer Provided Salary:₹34L - ₹51L,"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed.
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
Proactively research data and identify opportunities in the data to drive the product roadmap",4.3,"Indeed
4.3",Hyderābād,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist (BE/ B-tech 4-6 yrs),Employer Provided Salary:₹25L - ₹35L,"CommerceIQ is Hiring Data Scientist (3-5 yrs)
Data Scientist (4-6 Yrs exp)
At CommerceIQ, we are building the world’s most sophisticated E-commerce Channel Optimization software to help brands leverage Machine Learning, Analytics and Automation to grow their E-commerce business on all channels, globally.
As a Senior Data Scientist, you will work closely with Engineering/Product/Operations teams to build state-of-the-art ML-based solutions for B2B SaaS products. This entails not only leveraging advanced techniques for predictions, time-series forecasting, topic modelling, optimisation but deep understanding of business and product too.",4.2,"CommerceIQ
4.2",Bangalore,51 to 200 Employees,2012,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
Senior Data Scientist,Employer Provided Salary:₹40L - ₹60L,"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze and visualize them. You will also build and implement machine learning models to make timely decisions. You will have to effectively work independently and as part of a team, and be able to execute loosely-defined work items, including defining precise requirements. As a self-motivated and independent learner, you will also have access to unparalleled resources within Indeed to grow and develop skills both personally and professionally.

Responsibilities:
Support product development and initiatives, including understanding business needs, identifying product requirements and use-cases, documenting data requirements, etc.",4.3,"Indeed
4.3",Hyderābād,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Urgent Opening for DATA SCIENTIST ROLE,Employer Provided Salary:₹9L,"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Urgent Opening for DATA SCIENTIST ROLE,Employer Provided Salary:₹9L,"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:₹25L,"Multiple development and support Data Science Projects
Multi Domain Data Scientist with 6months of Core Data Science experience, mostly in Machine Learning (Regression, Classification and time series models).
Person must be very strong on various type of ML models (How to select right model, expertise on various stages of model development and ability to put model in production
Desirable: Exp in Deep learning (NLP, NER, Computer Vision techniques).
Machine learning
Deep learning
R, Python",4.0,"Evoke Technologies
4.0",Hyderābād,501 to 1000 Employees,2003,Company - Private,IT Service,Information Technology,$25 to $50 million (USD)
Data Scientist,Employer Provided Salary:₹30L - ₹45L,"Job Description
Roles and Responsibilities
Jubilant FoodWorks is amidst transformation & expansion which will fuel the next level of growth and this creates both challenges and opportunities. While JFL is the largest QSR in the sub-continent, it is set to double in scale & size with a vision towards becoming a 2000+ Restaurant with Multi Business, Multi Product, Multi Country Operations.

Analytics & Insights function:
Our vision is to build Analytics & insight function a strategic differentiator for the company.",-1,Jubilant FoodWorks,Noida,10000+ Employees,1995,Company - Public,Fast-Food & Quick-Service Restaurant,"Restaurants, Bars & Food Service",Unknown / Non-Applicable
Data Scientist,₹8L - ₹10L (Glassdoor Est.),"Position Summary
Job Title— Data Scientist in Controllership Services—Deloitte Advisory
Deloitte & Touche’s Controllership market offering helps CFOs, CCOs, controllers, and business unit finance leaders reduce financial reporting risk resulting from changes in statutory reporting requirements, market volatility, and corporate actions or events; increase the financial integrity and transparency of cost allocations; enhance the efficiency of the “last mile of finance;” transform the finance function; and enhance the value that finance delivers to their business.",3.9,"Deloitte
3.9",Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Analyst - Data Science - Python/Machine Learning,Employer Provided Salary:₹4L - ₹5L,"Analyst - Data Science - Python/Machine Learning
Hands-on with Machine Learning Concepts and algorithms such as Linear Regressions, Logistic Regression, Decision Tree, SVM, Random Forests, Bagging and Boosting, Recommendation systems etc with a decent grasp over the math behind some of the techniques
- Ability to mentor junior data scientists and critically evaluate the approaches discussed
- Ability to articulately present recommendations with senior leadership
- Be an active team member and execute complex analytical projects by leading and participating in tasks that use advanced statistical modeling and machine learning techniques
Job Type: Full-time",-1,Next gen computing,New Delhi,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Smart Infrastructure Division in Siemens Ltd. is one of the leading global suppliers of products, systems, solutions, and services for the efficient, reliable, and intelligent transmission and distribution of electrical power. As the trusted partner for the development and extension of an efficient and reliable power infrastructure that industry and the portfolio they need.

This includes facilities and systems for the low-voltage and distribution power grid level, smart grid and energy automation solutions, power supply for industrial plants, and high-voltage transmission systems.

We make real what matters. This is your role...

You have an experience in Spark, Hadoop, HBase, SCALA, NoSQL, Java, Big Data, Solr, Python, Machine Learning, information retrieval.",4.1,"Siemens Limited
4.1",Goa,5001 to 10000 Employees,2004,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD)
